nome_azienda,nome_decisore,ruolo_decisore,email,telefono,tipo_numero,citta,settore,website,angolo_pitch
Active Technologies Srl,,titolare,,+3905321772145,fisso,,Filippo - ESG,activetechnologies.it,
Agmax Srl,,titolare,,+390516053525,fisso,,Filippo - ESG,agmax.it,
La Micropallinatura Srl,,titolare,,+390522477058,fisso,,Filippo - ESG,micro-pallinatura.it,
Metalrubber Technologies Srl,,titolare,,+390516814242,fisso,,Filippo - ESG,metalrubber.it,
I Tre Moschettieri Srl,,titolare,,+390533380376,fisso,,Filippo - ESG,tremoschettieri.com,
Ruggeri Grafiche Srl,,titolare,,+39059824545,fisso,,Filippo - ESG,ruggerigrafiche.it,
Mazzini Service Srl,,titolare,,+393483614515,cellulare,,Filippo - ESG,mazziniservice.it,
Check Up Service Srl,,titolare,,+390522369011,fisso,,Filippo - ESG,checkupservice.it,
Consorzio Mecotek,,titolare,,+39059467982,fisso,,Filippo - ESG,mecotek.it,
Omega Servizi Integrati Srl,,titolare,,+393398298574,cellulare,,Filippo - ESG,omega-servizi.it,
World Jet Srl,,titolare,,+390536800228,fisso,,Filippo - ESG,worldjet.it,
Aerologistik Srl,,titolare,,+390458265135,fisso,,Filippo - ESG,aerologistik.it,
Sirio Macchine Agricole Srl,,titolare,,+390522862349,fisso,,Filippo - ESG,sirio.re,
Olio Sb Srl,,titolare,,+390510216958,fisso,,Filippo - ESG,oliosb.it,
Planeta Srl,,titolare,,+3905221722210,fisso,,Filippo - ESG,planeta.srl,
Okay Cars Srl,,titolare,,+390522889888,fisso,,Filippo - ESG,okaycars.it,
Effetre Srl,,titolare,,+390575680613,fisso,,Filippo - ESG,toscobosco.it,
Real Pasta Srl,,titolare,,+390522327821,fisso,,Filippo - ESG,realpasta.it,
Numismatica Terziani Srl,,titolare,,+39051264010,fisso,,Filippo - ESG,nummus.it,
Nautica Del Delta Srl,,titolare,,+390533713590,fisso,,Filippo - ESG,nauticadeldelta.it,
Artil Snc Di Nannini Giorgio & C,,titolare,,+390516647609,fisso,,Filippo - ESG,artil.it,
Gn Med Srl,,titolare,,+390542641837,fisso,,Filippo - ESG,gnmed.it,
Annovi Aldo & C. Srl,,titolare,,+39059558275,fisso,,Filippo - ESG,annovialdo.it,
Max Srl,,titolare,,+393283035437,cellulare,,Filippo - ESG,hotel-fiera.com,
Reco Tech Srl,,titolare,,+3905221750918,fisso,,Filippo - ESG,reco-tech.it,
Radio Bruno Soc Coop,,titolare,,+39059698555,fisso,,Filippo - ESG,multiradiosrl.it,
Tecno System Srl,,titolare,,+390532858883,fisso,,Filippo - ESG,tecnosystemfe.it,
Gazzotti 18 Societa' Cooperativa,,titolare,,+390516329611,fisso,,Filippo - ESG,gazzotti18.it,
Azienda Speciale Consortile Appennino Reggiano,,titolare,,+390522611876,fisso,,Filippo - ESG,teatrobismantova.it,
Medil Srl,,titolare,,+39051479285,fisso,,Filippo - ESG,medilcostruzioni.it,
Tamarri Srl,,titolare,,+390514380255,fisso,,Filippo - ESG,tamarri.it,
Welding Group Srl,,titolare,,+390575320701,fisso,,Filippo - ESG,weldinggroup.it,
Suncover Italia Srl,,titolare,,+390516650069,fisso,,Filippo - ESG,suncover.com,
Guen Srl,,titolare,,+39059283404,fisso,,Filippo - ESG,guen.it,
Marmiroli Srl,,titolare,,+390522954342,fisso,,Filippo - ESG,marmirolisrl.com,
Ats Consulenti Associati Srl,,titolare,,+390522701079,fisso,,Filippo - ESG,atseco.it,
Tenuta Di Arceno Srl Societa' Agricola,,titolare,,+390577359346,fisso,,Filippo - ESG,tenutadiarceno.com,
Gruppo Meca Srl,,titolare,,+390522964155,fisso,,Filippo - ESG,gruppomeca.it,
Bll Trasporti Srl,,titolare,,+39022131881,fisso,,Filippo - ESG,blltrasporti.it,
Caffe' River Spa,,titolare,,+390575299867,fisso,,Filippo - ESG,cafferiver.com,
Gestione Grandi Hotels Central Park Spa,,titolare,,+39059225858,fisso,,Filippo - ESG,centralparkmodena.com,
Tecnoforme Spa,,titolare,,+39059819033,fisso,,Filippo - ESG,tecnoforme.it,
Autoservizi Fontana Srl,,titolare,,+390522879145,fisso,,Filippo - ESG,fontanaviaggi.com,
Cons.A.R.S.Consorzio Autoriparatori Siena Soc Coop,,titolare,,+390577280466,fisso,,Filippo - ESG,consars.it,
Allitaly Srl,,titolare,,+393404953252,cellulare,,Filippo - ESG,klaasitalia.it,
Attilio Gori Srl,,titolare,,+390575678266,fisso,,Filippo - ESG,attiliogori.it,
Sassuolauto Service Srl,,titolare,,+390536990211,fisso,,Filippo - ESG,sassuolauto-service.bmw.it,
Additiva Srl,,titolare,,+390598677847,fisso,,Filippo - ESG,additivalab.com,
E.G. Srl,,titolare,,+390536928064,fisso,,Filippo - ESG,egautomazioni.it,
Bm Tractors Srl,,titolare,,+39059987232,fisso,,Filippo - ESG,bmtractors.com,
A.P. Distribuzione Srl,,titolare,,+39059640510,fisso,,Filippo - ESG,apdistribuzione.it,
A.T.A.M. Spa Azienda Trasporti Automobilistici Municipali,,titolare,,+390575984534,fisso,,Filippo - ESG,atamarezzo.it,
Fiabilandia Srl,,titolare,,+390541372064,fisso,,Filippo - ESG,fiabilandia.it,
Gi.Gi.Esse Srl,,titolare,,+390522667040,fisso,,Filippo - ESG,gigiessesrl.it,
Bertani E C. Srl,,titolare,,+390522577745,fisso,,Filippo - ESG,bertanigrafica.it,
Link Srl,,titolare,,+39051826180,fisso,,Filippo - ESG,linksrlimpianti.it,
Gamma Insonorizzazioni Srl,,titolare,,+390522606554,fisso,,Filippo - ESG,gammains.it,
Leonardi Benne Srl,,titolare,,+39059922127,fisso,,Filippo - ESG,leonardibenne.com,
Quadricroma Srl,,titolare,,+39051530120,fisso,,Filippo - ESG,quadricroma.com,
Etiprint Srl,,titolare,,+390532858080,fisso,,Filippo - ESG,etiprint.it,
Dieffe Di Franceschini & C. Srl,,titolare,,+390522930117,fisso,,Filippo - ESG,dieffesrl.com,
Burnelli E Parmeggiani Srl,,titolare,,+390516256268,fisso,,Filippo - ESG,burnelliparmeggiani.it,
Il Trovatore Srl,,titolare,,+390542640591,fisso,,Filippo - ESG,iltrovatoretipici.it,
Rm Servizi Soc Coop,,titolare,,+393514555695,cellulare,,Filippo - ESG,bertinoromusica.it,
Italcolven Srl,,titolare,,+390574870516,fisso,,Filippo - ESG,italcolven.com,
Dell'Erba Srl,,titolare,,+39059548432,fisso,,Filippo - ESG,dellerba.com,
Rev Srl,,titolare,,+39059858296,fisso,,Filippo - ESG,revtool.eu,
Panconi Catering Srl,,titolare,,+393493865064,cellulare,,Filippo - ESG,panconicatering.it,
Centrotex Srl,,titolare,,+390583051712,fisso,,Filippo - ESG,centrotex-lucca.it,
Montalcino Salumi Srl,,titolare,,+390564996922,fisso,,Filippo - ESG,montalcinosalumi.it,
Orologeria Fassorra Srl,,titolare,,+390587292846,fisso,,Filippo - ESG,fassorra.it,
